id,part,verse,in_doctrine,in_life_of_oyasama,en_6th_ed,ro,jp1,jp2,kanji,en
1,1,1,1,1,"Looking all over the world and through all ages, I find no one who has understood My heart.",yorozuyo no sekai ichiretsu miharasedo   mune no wakarita mono wa nai kara,よろつよのせかい一れつみはらせど,むねのハかりたものハないから,万代の世界一列見晴らせど   胸の分かりた者は無いから,"Looking all over the world and through all ages, I find no one who has understood My heart."
2,1,2,1,1,"So should it be, for I have never taught it to you. It is natural that you know nothing.",sono hazu ya toite kikashita koto wa nai   nanimo shiran ga muri de nai zo ya,そのはづやといてきかした事ハない,なにもしらんがむりでないそや,その筈や説いて聞かした事は無い   何も知らんが無理で無いぞや,"No wonder that you know nothing, for so far I have taught nothing to you."
3,1,3,1,1,"At this time, I, God, reveal Myself and teach the truth of all things in detail.",konotabi wa Kami ga omote i arawarete   nanika isai o toite kikasuru,このたびハ神がをもていあらハれて,なにかいさいをといてきかする,この度は神が表へ現れて   何か委細を説いて聞かする,"This time I, God, revealing Myself to the fore, teach you all the truth in detail."
4,1,4,1,1,"You are calling this place the Jiba, the Residence of God, in Yamato, but you may not know the origin.",kono tokoro Yamato no Jiba no kamigata to   yute iredomo moto wa shiromai,このところやまとのしバのかみがたと,ゆうていれども元ハしろまい,この所大和の地場の神館と   言うて居れども元は知ろまい,You are calling this place the Residence of God at the Jiba in Yamato; but perhaps you do not know the origin.
5,1,5,,1,"When you learn of this origin in full, a great yearning will come over you, whoever you may be.",kono moto o kuwashiku kiita koto naraba   ikana mono demo mina koishi naru,このもとをくハしくきいた事ならバ,いかなものでもみなこいしなる,この元を詳しく聞いた事ならば   如何な者でも皆恋しなる,"If you are told of this origin in full, great yearning will come over you, whoever you may be."
6,1,6,,1,"If you wish to know and will come to Me, I shall teach you the original cause of all things.",kiki takuba tazune kuru nara yute kikaso   yorozu isai no moto no innen,きゝたくバたつねくるならゆてきかそ,よろづいさいのもとのいんねん,聞きたくば訪ね来るなら言うて聞かそ   万委細の元の因縁,"Therefore, if you wish to hear and will come to Me, I will tell you the original Preordination of everything in detail."
7,1,7,,1,"As God is revealed and teaches the truth of all things in detail, the minds of all in the world will become spirited.",Kami ga dete nanika isai o toku naraba   sekai ichiretsu kokoro isamuru,かみがでてなにかいさいをとくならバ,せかい一れつ心いさむる,神が出て何か委細を説くならば   世界一列心勇むる,"When I, God, reveal Myself and teach you everything in detail, all people of the world will become equally cheerful."
8,1,8,,1,"As I am in haste to save all of you quickly, I set out to make all minds in the world spirited.",ichiretsu ni hayaku tasuke o isogu kara   sekai no kokoro isame kakarite,いちれつにはやくたすけをいそぐから,せかいの心いさめかゝりて,一列に早く救けを急ぐから   世界の心勇め掛かりて,"As I hasten to save all of you equally, I will set out to cheer up the minds of the world."
9,1,9,,1,"As your minds become spirited step by step, there shall be rich harvests and prosperity everywhere.",dandan to kokoro isande kuru naraba   sekai yononaka tokoro hanjo,だん／＼と心いさんてくるならバ,せかいよのなかところはんじよ,段々と心勇んで来るならば   世界よのなか所繁盛,"If your minds become cheered up step by step, rich harvests will prevail all over the world, and every place will become prosperous."
10,1,10,,1,"Hereafter, I shall teach you the hand movements of the Kagura Service and wait for all to assemble and perform it.",konosaki wa Kagura-zutome no te o tsukete   minna sorote Tsutome matsu nari,このさきハかくらづとめのてをつけて,みんなそろふてつとめまつなり,この先は神楽勤めの手を付けて   皆揃うて勤め待つなり,"Henceforth I will teach you the hand-gestures of the Kagura-Zutome, the Service with the Holy Masks, and wait for you to perform the Service in full numbers altogether."
11,1,11,1,1,"When all are assembled and quickly do the Service, as those close to Me become spirited, God, also, will be spirited.",mina sorote hayaku Tsutome o suru naraba   soba ga isameba Kami mo isamuru,みなそろてはやくつとめをするならバ,そばがいさめバ神もいさむる,皆揃ろて早く勤めをするならば   側が勇めば神も勇むる,"If you perform the Service quickly in full numbers, God will become cheered up as those close to Me become cheered up."
12,1,12,,1,"When the mind of God is depressed over everything, the growth of all crops will be depressed, too.",ichiretsu ni Kami no kokoro ga izumu nara   mono no ryuke ga mina izumu nari,いちれつに神の心がいづむなら,ものゝりうけかみないつむなり,一列に神の心がいずむなら   物の立毛が皆いずむなり,"When the mind of God is depressed about everything, every crop will be depressed, too."
13,1,13,,1,The mind that causes depressed crops is pitiful. Quickly become spirited so that the crops are not depressed.,ryukei no izumu kokoro wa kinodoku ya   izuman yo to hayaku isame yo,りうけいのいつむ心ハきのとくや,いづまんよふとはやくいさめよ,立毛のいずむ心は気の毒や   いずまん様と早く勇めよ,It is pitiful that you are of a mind that causes depressed crops. Therefore quickly become cheerful lest the crops be depressed!
14,1,14,,1,"If you wish that the crops grow spiritedly, do the Kagura Service and the Teodori.",ryukei ga isami deru yo to omou nara   Kagura-zutome ya Teodori o seyo,りうけいがいさみでるよとをもうなら,かぐらつとめやてをとりをせよ,立毛が勇み出る様と思うなら   神楽勤めや手踊りをせよ,"If you desire that the crops spring up vigorously, perform the Kagura and the Teodori!"
15,1,15,,,"At this time, begin the Teodori quickly. That will be the sign for miraculous things to come.",konotabi wa hayaku Teodori hajime kake   kore ga aizu no fushigi naru zo ya,このたびハはやくてをどりはじめかけ,これがあいずのふしきなるそや,この度は早く手踊り初め掛け   これが合図の不思議なるぞや,"Now set out to perform the Teodori in haste! Taking this as a signal, I will work marvels."
16,1,16,,,"Speaking of the sign and miracles, they are not yet seen. When the day arrives, you will understand clearly.",kono aizu fushigi to yute miete nai   sono hi kitareba tashika wakaru zo,このあいずふしぎとゆうてみへてない,そのひきたれバたしかハかるぞ,この合図不思議と言うて見えて無い   その日来たれば確か分かるぞ,This signal and the marvels have not yet been seen. But you will see them when the day comes.
17,1,17,,,"When the day arrives and understanding comes, whoever you may be, you will all be filled with admiration.",sono hi kite nanika wakari ga tsuita nara   ikana mono demo mina ga kanshin,そのひきてなにかハかりがついたなら,いかなものてもみながかんしん,その日来て何か分かりが付いたなら   如何な者でも皆が感心,"When the day comes and you understand what they are, whoever you may be, you will be all filled with admiration."
18,1,18,,,To teach of things after they appear is the way of the world. I teach of things before they appear.,miete kara toite kakaru wa sekainami   mien saki kara toite oku zo ya,みへてからといてかゝるハせかいなみ,みへんさきからといてをくそや,見えてから説いて掛かるは世界並   見えん先から説いて置くぞや,To begin to preach when things have come into sight is worldly; I will teach you beforehand what is still unseen.
19,1,19,,,"Hereafter, I desire that those in high places gradually calm their minds and make peace.",konosaki wa kami taru kokoro dandan to   kokoro shizumete waboku naru yo,このさきハ上たる心たん／＼と,心しづめてハぶくなるよふ,この先は上たる心段々と   心静めて和睦なる様,"Henceforth, I desire that the minds of the upper people will become step by step pacified and make peace."
20,1,20,,,"This peace may seem difficult to attain, but it will come step by step through God's protection.",kono waboku mutsukashi yoni aru keredo   dandan Kami ga shugo suru nari,このハほくむつかしよふにあるけれと,だん／＼神がしゆこするなり,この和睦難しい様に有るけれど   段々神が守護するなり,"This peace may seem difficult to attain, yet I, God, will protect them and step by step lead them to it."
21,1,21,1,1,This is a world constructed on reason. So I shall press upon you everything with the reason in verse.,kono yo wa rii de semetaru sekai nari   nanika yorozu o uta no ri de seme,このよふハりいでせめたるせかいなり,なにかよろづを歌のりでせめ,この世は理で責めたる世界なり   何か万を歌の理で責め,This is a world constructed on reason. So I will press upon you everything with the reason expressed in poetry.
22,1,22,,1,"I shall press, though not by force or word of mouth. I shall press by the tip of My writing brush.",semeru tote tezashi suru dewa nai hadoni   kuchi demo yuwan fudesaki no seme,せめるとててざしするでハないほどに,くちでもゆハんふでさきのせめ,責めるとて手差しするでは無い程に   口でも言わん筆先の責め,"Though I say I press, I will never press by force or by mouth, but with the tip of My writing brush."
23,1,23,,1,"It is all very well if you err in nothing. But should you err, I shall inform you by verse.",nanimo kamo chigawan koto wa yokeredomo   chigai aru nara uta de shirasuru,なにもかもちがハん事ハよけれども,ちがいあるなら歌でしらする,何もかも違わん事は良けれども   違い有るなら歌で知らせる,"It is all very well if you err in nothing. But should you err, I will warn you in poetry."
24,1,24,,,I pity you when My warnings become manifest. Know that any illness is from the mind.,shirashitara araware deru wa kinodoku ya   ikana yamai mo kokoro kara tote,しらしたらあらハれでるハきのどくや,いかなやまいも心からとて,知らしたら現れ出るは気の毒や   如何な病も心からとて,"It is a pity that when I warn you, things come to light. But it is inevitable, because any illness comes from one's own mind."
25,1,25,,,What you are calling an illness is not an ordinary one. It is the anger of God now being shown.,yamai tote sekainami dewa nai hodoni   Kami no rippuku imazo arawasu,やまいとてせかいなみでハないほどに,神のりいふくいまぞあらハす,病とて世界並では無い程に   神の立腹今ぞ現す,"What you are calling illness is not an ordinary one. Now I, God, am manifesting My anger."
26,1,26,,,"Because you have not obeyed the words of God even until now, I could not avoid showing it.",imamade mo Kami no yu koto kikan kara   zehi naku omote arawashita nari,いまゝでも神のゆう事きかんから,ぜひなくをもてあらハしたなり,今迄も神の言う事聞かんから   是非無く表現したなり,Hitherto also you had not yet obeyed what God had told you. So I was obliged to show it.
27,1,27,,,"So much of God's regret is now being shown, the matter is beyond the help of doctors and medicines.",kora hodono Kami no zannen deteru kara   isha mo kusuri mo kore wa kanawan,こらほどの神のざんねんでてるから,いしやもくすりもこれハかなハん,こら程の神の残念出てるから   医者も薬もこれは敵わん,The regret of God appearing in this illness is so severe that doctors and medicine are all powerless.
28,1,28,,,"Never think of this one matter as being ordinary. By all means, I shall admonish you with My verses.",kore bakari hitonami ya towa omouna yo   nandemo kore wa uta de semekiru,これハかりひとなみやとハをもうなよ,なんてもこれハ歌でせめきる,こればかり人並やとは思うなよ   何でもこれは歌で責め切る,"Just this, never think that it is an ordinary illness! By all means I will drive it away with poetry."
29,1,29,,1,"This time, I shall clean the Residence thoroughly. Watch, as I show you how.",konotabi wa yashiki no soji sukiyaka ni   shitatete miseru kore o mite kure,このたびハやしきのそふじすきやかに,したゝてみせるこれをみてくれ,この度は屋敷の掃除清きやかに   仕立てて見せるこれを見て呉れ,This time I am determined to sweep this Residence clean. So watch and see it!
30,1,30,,,"When this cleaning is thoroughly done, the truth shall be known and it will be told and retold.",soji sai sukiyaka shitaru koto naraba   shirite hanashite hanashi suru nari,そふじさいすきやかしたる事ならバ,しりてはなしてはなしするなり,掃除さい清きやかしたる事ならば   知りて話して話するなり,"When I finish this sweeping thoroughly, the truth shall become clearly understood and it will be told and retold."
31,1,31,,,What is the cause of My regret thus far? The lameness of your leg is My prime regret.,koremade no zannen naru wa nanino koto   ashi no chinba ga ichi no zannen,これまでのざんねんなるハなにの事,あしのちんばが一のさんねん,これ迄の残念なるは何の事   足の跛が一の残念,What do you think the reason is for My severe regret thus far? The lameness of the leg is the cause of My prime regret.
32,1,32,,,You are saying that your leg is affected by illness. It is not an illness but the anger of God.,kono ashi wa yamai to yute iru keredo   yamai dewa nai Kami no rippuku,このあしハやまいとゆうているけれど,やまいでハない神のりいふく,この足は病と言うて居るけれど   病では無い神の立腹,You are calling it illness. But really it is not an illness.It is indeed the expression of the anger of God.
33,1,33,,,My anger is not a small matter. It is the result of causes accumulated and piled up.,rippuku mo chotto no koto dewa nai hodoni   tsumori kasanari yue no koto nari,りいふくも一寸の事でハないほどに,つもりかさなりゆへの事なり,立腹も一寸の事では無い程に   積り重なり故の事なり,My anger is not a slight one. It is a result of causes accumulated and piled up.
34,1,34,,,To say why it is that I am angry: it is because the wrongdoing has not been removed.,rippuku mo naniyue naru to yu naraba   akuji ga nokan yue no koto nari,りいふくもなにゆへなるどゆうならハ,あくじがのかんゆへの事なり,立腹も何故なると言うならば   悪事が退かん故の事なり,"If you ask the reason wherefore I am angry, it is because your wrongdoing has not yet stopped."
