id,part,verse,in_doctrine,in_life_of_oyasama,en,ro,jp_1,jp_2
1,1,1,1,1,"Looking all over the world and through all ages, I find no one who has understood My heart.",yorozuyo no sekai ichiretsu miharasedo   mune no wakarita mono wa nai kara,よろつよのせかい一れつみはらせど,むねのハかりたものハないから
2,1,2,1,1,"So should it be, for I have never taught it to you. It is natural that you know nothing.",sono hazu ya toite kikashita koto wa nai   nanimo shiran ga muri de nai zo ya,そのはづやといてきかした事ハない,なにもしらんがむりでないそや
3,1,3,1,1,"At this time, I, God, reveal Myself and teach the truth of all things in detail.",konotabi wa Kami ga omote i arawarete   nanika isai o toite kikasuru,このたびハ神がをもていあらハれて,なにかいさいをといてきかする
4,1,4,1,1,"You are calling this place the Jiba, the Residence of God, in Yamato, but you may not know the origin.",kono tokoro Yamato no Jiba no kamigata to   yute iredomo moto wa shiromai,このところやまとのしバのかみがたと,ゆうていれども元ハしろまい
5,1,5,,1,"When you learn of this origin in full, a great yearning will come over you, whoever you may be.",kono moto o kuwashiku kiita koto naraba   ikana mono demo mina koishi naru,このもとをくハしくきいた事ならバ,いかなものでもみなこいしなる
6,1,6,,1,"If you wish to know and will come to Me, I shall teach you the original cause of all things.",kiki takuba tazune kuru nara yute kikaso   yorozu isai no moto no innen,きゝたくバたつねくるならゆてきかそ,よろづいさいのもとのいんねん
7,1,7,,1,"As God is revealed and teaches the truth of all things in detail, the minds of all in the world will become spirited.",Kami ga dete nanika isai o toku naraba   sekai ichiretsu kokoro isamuru,かみがでてなにかいさいをとくならバ,せかい一れつ心いさむる
8,1,8,,1,"As I am in haste to save all of you quickly, I set out to make all minds in the world spirited.",ichiretsu ni hayaku tasuke o isogu kara   sekai no kokoro isame kakarite,いちれつにはやくたすけをいそぐから,せかいの心いさめかゝりて
9,1,9,,1,"As your minds become spirited step by step, there shall be rich harvests and prosperity everywhere.",dandan to kokoro isande kuru naraba   sekai yononaka tokoro hanjo,だん／＼と心いさんてくるならバ,せかいよのなかところはんじよ
10,1,10,,1,"Hereafter, I shall teach you the hand movements of the Kagura Service and wait for all to assemble and perform it.",konosaki wa Kagura-zutome no te o tsukete   minna sorote Tsutome matsu nari,このさきハかくらづとめのてをつけて,みんなそろふてつとめまつなり
11,1,11,1,1,"When all are assembled and quickly do the Service, as those close to Me become spirited, God, also, will be spirited.",mina sorote hayaku Tsutome o suru naraba   soba ga isameba Kami mo isamuru,みなそろてはやくつとめをするならバ,そばがいさめバ神もいさむる
12,1,12,,1,"When the mind of God is depressed over everything, the growth of all crops will be depressed, too.",ichiretsu ni Kami no kokoro ga izumu nara   mono no ryuke ga mina izumu nari,いちれつに神の心がいづむなら,ものゝりうけかみないつむなり
13,1,13,,1,The mind that causes depressed crops is pitiful. Quickly become spirited so that the crops are not depressed.,ryukei no izumu kokoro wa kinodoku ya   izuman yo to hayaku isame yo,りうけいのいつむ心ハきのとくや,いづまんよふとはやくいさめよ
14,1,14,,1,"If you wish that the crops grow spiritedly, do the Kagura Service and the Teodori.",ryukei ga isami deru yo to omou nara   Kagura-zutome ya Teodori o seyo,りうけいがいさみでるよとをもうなら,かぐらつとめやてをとりをせよ
15,1,15,,,"At this time, begin the Teodori quickly. That will be the sign for miraculous things to come.",konotabi wa hayaku Teodori hajime kake   kore ga aizu no fushigi naru zo ya,このたびハはやくてをどりはじめかけ,これがあいずのふしきなるそや
16,1,16,,,"Speaking of the sign and miracles, they are not yet seen. When the day arrives, you will understand clearly.",kono aizu fushigi to yute miete nai   sono hi kitareba tashika wakaru zo,このあいずふしぎとゆうてみへてない,そのひきたれバたしかハかるぞ
17,1,17,,,"When the day arrives and understanding comes, whoever you may be, you will all be filled with admiration.",sono hi kite nanika wakari ga tsuita nara   ikana mono demo mina ga kanshin,そのひきてなにかハかりがついたなら,いかなものてもみながかんしん
18,1,18,,,To teach of things after they appear is the way of the world. I teach of things before they appear.,miete kara toite kakaru wa sekainami   mien saki kara toite oku zo ya,みへてからといてかゝるハせかいなみ,みへんさきからといてをくそや
19,1,19,,,"Hereafter, I desire that those in high places gradually calm their minds and make peace.",konosaki wa kami taru kokoro dandan to   kokoro shizumete waboku naru yo,このさきハ上たる心たん／＼と,心しづめてハぶくなるよふ
20,1,20,,,"This peace may seem difficult to attain, but it will come step by step through God's protection.",kono waboku mutsukashi yoni aru keredo   dandan Kami ga shugo suru nari,このハほくむつかしよふにあるけれと,だん／＼神がしゆこするなり
21,1,21,1,1,This is a world constructed on reason. So I shall press upon you everything with the reason in verse.,kono yo wa rii de semetaru sekai nari   nanika yorozu o uta no ri de seme,このよふハりいでせめたるせかいなり,なにかよろづを歌のりでせめ
22,1,22,,1,"I shall press, though not by force or word of mouth. I shall press by the tip of My writing brush.",semeru tote tezashi suru dewa nai hadoni   kuchi demo yuwan fudesaki no seme,せめるとててざしするでハないほどに,くちでもゆハんふでさきのせめ
23,1,23,,1,"It is all very well if you err in nothing. But should you err, I shall inform you by verse.",nanimo kamo chigawan koto wa yokeredomo   chigai aru nara uta de shirasuru,なにもかもちがハん事ハよけれども,ちがいあるなら歌でしらする
24,1,24,,,I pity you when My warnings become manifest. Know that any illness is from the mind.,shirashitara araware deru wa kinodoku ya   ikana yamai mo kokoro kara tote,しらしたらあらハれでるハきのどくや,いかなやまいも心からとて
25,1,25,,,What you are calling an illness is not an ordinary one. It is the anger of God now being shown.,yamai tote sekainami dewa nai hodoni   Kami no rippuku imazo arawasu,やまいとてせかいなみでハないほどに,神のりいふくいまぞあらハす
26,1,26,,,"Because you have not obeyed the words of God even until now, I could not avoid showing it.",imamade mo Kami no yu koto kikan kara   zehi naku omote arawashita nari,いまゝでも神のゆう事きかんから,ぜひなくをもてあらハしたなり
27,1,27,,,"So much of God's regret is now being shown, the matter is beyond the help of doctors and medicines.",kora hodono Kami no zannen deteru kara   isha mo kusuri mo kore wa kanawan,こらほどの神のざんねんでてるから,いしやもくすりもこれハかなハん
28,1,28,,,"Never think of this one matter as being ordinary. By all means, I shall admonish you with My verses.",kore bakari hitonami ya towa omouna yo   nandemo kore wa uta de semekiru,これハかりひとなみやとハをもうなよ,なんてもこれハ歌でせめきる
29,1,29,,1,"This time, I shall clean the Residence thoroughly. Watch, as I show you how.",konotabi wa yashiki no soji sukiyaka ni   shitatete miseru kore o mite kure,このたびハやしきのそふじすきやかに,したゝてみせるこれをみてくれ
30,1,30,,,"When this cleaning is thoroughly done, the truth shall be known and it will be told and retold.",soji sai sukiyaka shitaru koto naraba   shirite hanashite hanashi suru nari,そふじさいすきやかしたる事ならバ,しりてはなしてはなしするなり
31,1,31,,,What is the cause of My regret thus far? The lameness of your leg is My prime regret.,koremade no zannen naru wa nanino koto   ashi no chinba ga ichi no zannen,これまでのざんねんなるハなにの事,あしのちんばが一のさんねん
32,1,32,,,You are saying that your leg is affected by illness. It is not an illness but the anger of God.,kono ashi wa yamai to yute iru keredo   yamai dewa nai Kami no rippuku,このあしハやまいとゆうているけれど,やまいでハない神のりいふく
33,1,33,,,My anger is not a small matter. It is the result of causes accumulated and piled up.,rippuku mo chotto no koto dewa nai hodoni   tsumori kasanari yue no koto nari,りいふくも一寸の事でハないほどに,つもりかさなりゆへの事なり
34,1,34,,,To say why it is that I am angry: it is because the wrongdoing has not been removed.,rippuku mo naniyue naru to yu naraba   akuji ga nokan yue no koto nari,りいふくもなにゆへなるどゆうならハ,あくじがのかんゆへの事なり
35,1,35,,,"Unless this wrongdoing is completely removed, know that it will stand in the way of the construction.",kono akuji sukiyaka noken koto nitewa   fushin no jama ni naru to koso shire,このあくじすきやかのけん事にてハ,ふしんのしやまになるとこそしれ
36,1,36,,,"No matter how stubborn this wrongdoing may be, it will be removed by the admonishment of God.",kono akuji nanbo shibutoi mono ya tote   Kami ga semekiri nokete miseru de,このあくじなんぼしぶといものやどて,神がせめきりのけてみせるで
37,1,37,,,"If this wrongdoing is completely cleared away, the lameness of your leg, also, will be cleared away.",kono akuji sukiyaka noketa koto naraba   ashi no chinba mo sukiyaka to naru,このあくじすきやかのけた事ならバ,あしのちんばもすきやかとなる
38,1,38,,,"If only your leg is made completely well, nothing will remain but to prepare for the construction.",ashi saika sukiyaka naori shita naraba   ato wa fushin no moyo bakari o,あしさいかすきやかなをりしたならバ,あとハふしんのもよふハかりを
