verse_id,part,verse,in_doctrine,in_life_of_oyasama,pt,en_6th_ed,ro,jp1,jp2,kanji,english
1,1,1,1,1,"Observando todos do mundo por todas as épocas, não encontro quem tenha entendido o meu coração.","Looking all over the world and through all ages, I find no one who has understood My heart.",yorozuyo no sekai ichiretsu miharasedo   mune no wakarita mono wa nai kara,よろつよのせかい一れつみはらせど,むねのハかりたものハないから,万代の世界一列見晴らせど   胸の分かりた者は無いから,"Looking all over the world and through all ages, I find no one who has understood My heart."
2,1,2,1,1,"É natural que assim seja, pois nunca o expliquei, não é sem razão que não saibam coisa alguma.","So should it be, for I have never taught it to you. It is natural that you know nothing.",sono hazu ya toite kikashita koto wa nai   nanimo shiran ga muri de nai zo ya,そのはづやといてきかした事ハない,なにもしらんがむりでないそや,その筈や説いて聞かした事は無い   何も知らんが無理で無いぞや,"No wonder that you know nothing, for so far I have taught nothing to you."
3,1,3,1,1,"Desta vez, Eu, Deus, revelando-me diante de todos, farei ouvir-me explicando os detalhes de tudo.","At this time, I, God, reveal Myself and teach the truth of all things in detail.",konotabi wa Kami ga omote i arawarete   nanika isai o toite kikasuru,このたびハ神がをもていあらハれて,なにかいさいをといてきかする,この度は神が表へ現れて   何か委細を説いて聞かする,"This time I, God, revealing Myself to the fore, teach you all the truth in detail."
4,1,4,1,1,"Embora estejam chamando este lugar de Jiba, Morada de Deus, em Yamato, não sabem a origem.","You are calling this place the Jiba, the Residence of God, in Yamato, but you may not know the origin.",kono tokoro Yamato no Jiba no kamigata to   yute iredomo moto wa shiromai,このところやまとのしバのかみがたと,ゆうていれども元ハしろまい,この所大和の地場の神館と   言うて居れども元は知ろまい,You are calling this place the Residence of God at the Jiba in Yamato; but perhaps you do not know the origin.
5,1,5,,1,"Se ouvirem detalhadamente esta origem, seja quem for, todos serão tomados pela saudade.","When you learn of this origin in full, a great yearning will come over you, whoever you may be.",kono moto o kuwashiku kiita koto naraba   ikana mono demo mina koishi naru,このもとをくハしくきいた事ならバ,いかなものでもみなこいしなる,この元を詳しく聞いた事ならば   如何な者でも皆恋しなる,"If you are told of this origin in full, great yearning will come over you, whoever you may be."
6,1,6,,1,"Se desejarem ouvir e vierem me procurar, explicarei a original predestinação de todas as coisas.","If you wish to know and will come to Me, I shall teach you the original cause of all things.",kiki takuba tazune kuru nara yute kikaso   yorozu isai no moto no innen,きゝたくバたつねくるならゆてきかそ,よろづいさいのもとのいんねん,聞きたくば訪ね来るなら言うて聞かそ   万委細の元の因縁,"Therefore, if you wish to hear and will come to Me, I will tell you the original Preordination of everything in detail."
7,1,7,,1,"Se Deus se revela e explica tudo em detalhes, o espírito de todas as pessoas do mundo se animará.","As God is revealed and teaches the truth of all things in detail, the minds of all in the world will become spirited.",Kami ga dete nanika isai o toku naraba   sekai ichiretsu kokoro isamuru,かみがでてなにかいさいをとくならバ,せかい一れつ心いさむる,神が出て何か委細を説くならば   世界一列心勇むる,"When I, God, reveal Myself and teach you everything in detail, all people of the world will become equally cheerful."
8,1,8,,1,"Por apressar a salvação de todos igualmente, começo a animar o espírito de todas as pessoas.","As I am in haste to save all of you quickly, I set out to make all minds in the world spirited.",ichiretsu ni hayaku tasuke o isogu kara   sekai no kokoro isame kakarite,いちれつにはやくたすけをいそぐから,せかいの心いさめかゝりて,一列に早く救けを急ぐから   世界の心勇め掛かりて,"As I hasten to save all of you equally, I will set out to cheer up the minds of the world."
9,1,9,,1,"Se os espíritos vierem a animar-se gradualmente, haverá prosperidade em todos os locais do mundo.","As your minds become spirited step by step, there shall be rich harvests and prosperity everywhere.",dandan to kokoro isande kuru naraba   sekai yononaka tokoro hanjo,だん／＼と心いさんてくるならバ,せかいよのなかところはんじよ,段々と心勇んで来るならば   世界よのなか所繁盛,"If your minds become cheered up step by step, rich harvests will prevail all over the world, and every place will become prosperous."
10,1,10,,1,"Doravante, ensinando os movimentos das mãos do Serviço de Kagura, espero sua execução com todos completos.","Hereafter, I shall teach you the hand movements of the Kagura Service and wait for all to assemble and perform it.",konosaki wa Kagura-zutome no te o tsukete   minna sorote Tsutome matsu nari,このさきハかくらづとめのてをつけて,みんなそろふてつとめまつなり,この先は神楽勤めの手を付けて   皆揃うて勤め待つなり,"Henceforth I will teach you the hand-gestures of the Kagura-Zutome, the Service with the Holy Masks, and wait for you to perform the Service in full numbers altogether."
